region_id,year,ml_observations,mean_ml_suitability_score,mean_prediction_confidence,not_suitable_percentage,moderate_percentage,suitable_percentage,MEHI_score,health_category
R_-45_115,2024,140,86.42857142857143,0.9913315965636447,0.0,27.142857142857142,72.85714285714285,89.2188965420558,Higher relative environmental condition
R_-45_145,2024,11,95.45454545454545,0.8368620201381624,0.0,9.090909090909092,90.9090909090909,88.35979385023425,Higher relative environmental condition
R_-45_55,2020,223,82.73542600896862,0.9869567297141204,0.0,34.52914798206278,65.47085201793722,86.02115180026533,Higher relative environmental condition
R_-45_90,2024,19,86.84210526315789,0.9940619334334786,0.0,26.31578947368421,73.68421052631578,89.84965912380169,Higher relative environmental condition
R_-45_95,2024,44,93.18181818181819,0.9884492775509837,0.0,13.636363636363635,86.36363636363636,90.45248062007286,Higher relative environmental condition
R_-50_-150,2022,49,80.61224489795919,0.9694718418712502,0.0,38.775510204081634,61.224489795918366,87.9087610684107,Higher relative environmental condition
R_-50_110,2024,67,94.02985074626865,0.9756051048599824,0.0,11.940298507462686,88.05970149253731,90.0623908314427,Higher relative environmental condition
R_-50_115,2024,154,91.23376623376623,0.9805929686725804,0.0,17.532467532467532,82.46753246753246,89.60618950595999,Higher relative environmental condition
R_-50_140,2024,14,92.85714285714286,0.9846522122166824,0.0,14.285714285714285,85.71428571428571,90.15169944626128,Higher relative environmental condition
R_-50_55,2020,294,83.33333333333333,0.9918437211224765,0.0,33.33333333333333,66.66666666666666,85.90378399314604,Higher relative environmental condition
R_-50_90,2024,63,94.44444444444444,0.9744278916367655,0.0,11.11111111111111,88.88888888888889,90.04212842865779,Higher relative environmental condition
R_-55_-150,2022,39,87.17948717948718,0.9791846266628124,0.0,25.64102564102564,74.35897435897436,87.81841781409838,Higher relative environmental condition
R_-55_-175,2024,15,96.66666666666667,0.8956954752975953,0.0,6.666666666666667,93.33333333333333,88.82989852707881,Higher relative environmental condition
R_-55_-180,2024,11,90.9090909090909,0.862894793721171,0.0,18.181818181818183,81.81818181818183,88.05718722503237,Higher relative environmental condition
R_-55_-40,2020,11,50.0,0.9989887374806656,0.0,100.0,0.0,74.39510377144904,Moderate relative environmental condition
R_-55_-40,2021,10,50.0,0.9929550102180285,0.0,100.0,0.0,79.62030461259519,Moderate relative environmental condition
R_-55_-40,2022,5,50.0,0.9681804707651025,0.0,100.0,0.0,81.0479206294763,Higher relative environmental condition
R_-55_-40,2023,10,55.0,0.969361655138177,0.0,90.0,10.0,79.80503653424655,Moderate relative environmental condition
R_-55_-45,2020,15,73.33333333333333,0.983790709516097,0.0,53.333333333333336,46.666666666666664,84.6118575082108,Higher relative environmental condition
R_-55_-45,2021,31,59.67741935483871,0.9922883169045729,0.0,80.64516129032258,19.35483870967742,83.26695263823153,Higher relative environmental condition
R_-55_-45,2022,13,57.69230769230769,0.9740784191574471,0.0,84.61538461538461,15.384615384615385,83.66948968633143,Higher relative environmental condition
R_-55_-50,2020,46,86.95652173913044,0.9544639739001414,0.0,26.08695652173913,73.91304347826086,87.4131852862126,Higher relative environmental condition
R_-55_-50,2021,1,50.0,0.9961230565435008,0.0,100.0,0.0,78.09458424694354,Moderate relative environmental condition
R_-55_-55,2020,8,81.25,0.9408721165907665,0.0,37.5,62.5,80.61374589100437,Higher relative environmental condition
R_-55_-60,2020,22,75.0,0.9441575487401564,0.0,50.0,50.0,82.3847623246375,Higher relative environmental condition
R_-55_-60,2021,22,70.45454545454545,0.9714307911868075,0.0,59.09090909090909,40.909090909090914,83.52390073433529,Higher relative environmental condition
R_-55_-60,2023,2,75.0,0.9912298449207997,0.0,50.0,50.0,81.79351711933045,Higher relative environmental condition
R_-55_-80,2023,87,83.33333333333333,0.9806208574542807,0.0,33.33333333333333,66.66666666666666,86.58520847589581,Higher relative environmental condition
R_-55_110,2024,27,72.22222222222223,0.9740943844633065,0.0,55.55555555555556,44.44444444444444,85.05998578493534,Higher relative environmental condition
R_-55_115,2024,175,72.0,0.991636212649012,0.0,56.00000000000001,44.0,85.20564165688336,Higher relative environmental condition
R_-55_55,2020,186,68.27956989247312,0.9895164494884291,0.0,63.44086021505376,36.55913978494624,84.0727927898871,Higher relative environmental condition
R_-55_85,2024,59,68.64406779661017,0.9854077243186518,0.0,62.71186440677966,37.28813559322034,83.82711908255907,Higher relative environmental condition
R_-5_-25,2023,279,63.799283154121866,0.9934120010115032,0.0,72.40143369175627,27.598566308243726,85.10173878842572,Higher relative environmental condition
R_-5_-30,2023,63,66.66666666666667,0.9874409003381606,0.0,66.66666666666666,33.33333333333333,85.59078176734057,Higher relative environmental condition
R_-5_140,2022,106,92.9245283018868,0.9855712006851257,0.0,14.150943396226415,85.84905660377359,84.26120629873543,Higher relative environmental condition
R_-5_90,2025,121,85.12396694214875,0.9854033221861964,0.0,29.75206611570248,70.24793388429752,83.81183482962503,Higher relative environmental condition
R_-60_-145,2022,22,59.09090909090909,0.9741534238922473,0.0,81.81818181818183,18.181818181818183,82.46368985166845,Higher relative environmental condition
R_-60_-145,2023,28,51.785714285714285,0.9893116981304655,0.0,96.42857142857143,3.571428571428571,82.35229107093728,Higher relative environmental condition
R_-60_-150,2022,44,81.81818181818181,0.9707877984691738,0.0,36.36363636363637,63.63636363636363,85.66347673861311,Higher relative environmental condition
R_-60_-170,2024,16,100.0,0.9685456270196144,0.0,0.0,100.0,88.6758633274554,Higher relative environmental condition
R_-60_-35,2020,134,55.59701492537314,0.9948545826734764,0.0,88.80597014925374,11.194029850746269,81.00093662046953,Higher relative environmental condition
R_-60_-35,2021,193,52.33160621761658,0.9914381020127062,0.0,95.33678756476684,4.66321243523316,80.87945421856746,Higher relative environmental condition
R_-60_-35,2023,154,57.142857142857146,0.9834367315921929,0.0,85.71428571428571,14.285714285714285,81.31452976631275,Higher relative environmental condition
R_-60_-40,2021,6,50.0,0.9978472326651016,0.0,100.0,0.0,82.38071352306349,Higher relative environmental condition
R_-60_-60,2020,212,76.88679245283019,0.9775160782532119,0.0,46.22641509433962,53.77358490566038,85.65714016250257,Higher relative environmental condition
R_-60_-60,2021,177,80.50847457627118,0.9793619476367534,0.0,38.983050847457626,61.016949152542374,86.327666564977,Higher relative environmental condition
R_-60_-60,2023,193,78.23834196891191,0.9799535492356812,0.0,43.523316062176164,56.476683937823836,86.17229060738973,Higher relative environmental condition
R_-60_-70,2024,15,86.66666666666667,0.9651139506149504,0.0,26.666666666666668,73.33333333333333,87.21854113012697,Higher relative environmental condition
R_-60_-80,2023,22,77.27272727272727,0.9518004058948926,0.0,45.45454545454545,54.54545454545454,87.90531163167984,Higher relative environmental condition
R_-60_-85,2023,55,84.54545454545455,0.9791850993919814,0.0,30.909090909090907,69.0909090909091,85.98227325545346,Higher relative environmental condition
R_-60_110,2024,86,68.02325581395348,0.996765507483765,0.0,63.95348837209303,36.04651162790697,82.34399390927466,Higher relative environmental condition
R_-60_115,2024,99,67.67676767676768,0.9914939499973197,0.0,64.64646464646465,35.35353535353536,81.95555550949008,Higher relative environmental condition
R_-60_50,2020,65,56.92307692307692,0.9938422256826573,0.0,86.15384615384616,13.846153846153847,76.36484280023681,Moderate relative environmental condition
R_-60_55,2020,175,65.14285714285714,0.9966971467266272,0.0,69.71428571428572,30.28571428571429,77.95688015904925,Moderate relative environmental condition
R_-60_80,2024,94,61.702127659574465,0.9912405672783895,0.0,76.59574468085107,23.404255319148938,81.95045882680986,Higher relative environmental condition
R_-65_-105,2024,14,71.42857142857143,0.9149332889413104,0.0,57.14285714285714,42.857142857142854,87.3242104256234,Higher relative environmental condition
R_-65_-145,2023,13,61.53846153846154,0.9918770658601814,0.0,76.92307692307693,23.076923076923077,83.41745463424863,Higher relative environmental condition
R_-65_-165,2024,23,60.869565217391305,0.9675170467506458,0.0,78.26086956521739,21.73913043478261,86.97253265565413,Higher relative environmental condition
R_-65_-30,2020,31,40.32258064516129,0.997824592019886,19.35483870967742,80.64516129032258,0.0,72.25248441104591,Moderate relative environmental condition
R_-65_-30,2021,12,29.166666666666668,0.9993014003936084,41.66666666666667,58.333333333333336,0.0,72.36252590372116,Moderate relative environmental condition
R_-65_-30,2023,36,45.833333333333336,0.9998455035549321,8.333333333333332,91.66666666666666,0.0,72.78606532169789,Moderate relative environmental condition
R_-65_-35,2020,88,46.02272727272727,0.9994330985131469,7.954545454545454,92.04545454545455,0.0,74.82485154712066,Moderate relative environmental condition
R_-65_-35,2021,105,45.714285714285715,0.998515615706983,8.571428571428571,91.42857142857143,0.0,74.90094169815468,Moderate relative environmental condition
R_-65_-35,2023,104,42.78846153846154,0.9992990176634874,14.423076923076922,85.57692307692307,0.0,75.06591075109951,Moderate relative environmental condition
R_-65_-45,2023,91,50.0,0.9996374118596774,0.0,100.0,0.0,77.62571164816504,Moderate relative environmental condition
R_-65_-50,2023,14,50.0,0.99730130877804,0.0,100.0,0.0,72.49164526386943,Moderate relative environmental condition
R_-65_-55,2020,24,56.25,0.9956869163163735,0.0,87.5,12.5,80.08957989145844,Higher relative environmental condition
R_-65_-55,2021,20,60.0,0.9943722419514515,0.0,80.0,20.0,79.91856629182325,Moderate relative environmental condition
